"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:437","Weg mit der Magie!","Arrête cette magie !","","False","SVM_3_StopMagic","",""
"Scripts/Content/Story/SVM.d:438","Steck endlich die Magie weg.","Arrête cette magie maintenant.","","False","SVM_3_ISaidStopMagic","",""
"Scripts/Content/Story/SVM.d:438","Nimm die Waffe runter!","Range cette arme !","","False","SVM_3_WeaponDown","",""
"Scripts/Content/Story/SVM.d:439","Ich krieg' schlechte Laune, wenn du weiter mit der Waffe rumfummelst!!","Je vais me mettre de mauvaise humeur si tu continue à te balader avec cette arme !!","","False","SVM_3_ISaidWeaponDown","",""
"Scripts/Content/Story/SVM.d:441","Warum zielst du auf mich?!","Pourquoi me vises-tu ?","","False","SVM_3_WatchYourAim","",""
"Scripts/Content/Story/SVM.d:442","Waffe runter, sonst werd ich böse!","Put the weapon down or I will get ugly!","","False","SVM_3_WatchYourAimAngry","",""
"Scripts/Content/Story/SVM.d:442","Heeeeeey! Was soll der Scheiß??","Hééééé ! C'est pour quoi faire ??","","False","SVM_3_WhatAreYouDoing","",""
"Scripts/Content/Story/SVM.d:443","Nun gut, wir betrachten unsere Auseinandersetzung als Missverständnis.","Bon d'accord, considérons cet argument comme un malentendu.","","False","SVM_3_LetsForgetOurLittleFight","",""
"Scripts/Content/Story/SVM.d:445","Du Mistvieh nervst mich nicht mehr!","Sale chien. Tu ne me dérangera pas plus longtemps !","","False","SVM_3_DieMonster","",""
"Scripts/Content/Story/SVM.d:446","Gleich hast du's hinter dir!","tu va bientôt rejoindre les vers de terre !","","False","SVM_3_DieMortalEnemy","",""
"Scripts/Content/Story/SVM.d:447","Ich muss wohl noch deutlicher werden!","Il semble que je dois devenir plus clair !","","False","SVM_3_NowWait","",""
"Scripts/Content/Story/SVM.d:448","Du hast wohl noch nicht genug!","Apparemment tu n'en as pas eu assez !","","False","SVM_3_YouStillNotHaveEnough","",""
"Scripts/Content/Story/SVM.d:448","Du wolltest es so!","Tu l'as cherché !","","False","SVM_3_YouAskedForIt","",""
"Scripts/Content/Story/SVM.d:449","Hier hast du nichts zu suchen! Jetzt muss ich dich platt machen!","Tu n'as rien a faire ici ! Maintenant je dois te corriger !","","False","SVM_3_NowWaitIntruder","",""
"Scripts/Content/Story/SVM.d:450","Du beklaust mich! Ich glaub' es nicht!","Tu m'as volé ! J'y crois pas !","","False","SVM_3_DirtyThief","",""
"Scripts/Content/Story/SVM.d:451","Hier kannst du nicht einfach jedem aufs Maul hauen!","Tu ne peux pas taper tous les gens que tu croises, ici !","","False","SVM_3_YouAttackedMyCharge","",""
"Scripts/Content/Story/SVM.d:453","Du hast einen von uns umgebracht! Das war dein letzter Fehler!","Tu as tué un des nôtres ! C'est ta dernière erreur !","","False","SVM_3_YouKilledOneOfUs","",""
"Scripts/Content/Story/SVM.d:455","Aaargl","Aargh, aargh","","False","SVM_3_Dead","",""
"Scripts/Content/Story/SVM.d:456","Aargh","Oorgh, aargh","","False","SVM_3_Aargh_1","",""
"Scripts/Content/Story/SVM.d:457","Aargh","Oorgh, aargh","","False","SVM_3_Aargh_2","",""
"Scripts/Content/Story/SVM.d:457","Aargh","Oorgh, aargh","","False","SVM_3_Aargh_3","",""
